full_name,gender,classification_method,role,total_mentions,mentions_openai,mentions_anthropic,mentions_perplexity,mentions_gemini,mentions_by_category,first_mention_context
Sir Tim Berners-Lee,M,gender-guesser,academic,331,107,114,37,73,"{""ICT"": 227, ""software engineering"": 20, ""networking and telecommunications"": 84}","Often credited as the inventor of the World Wide Web, Berners-Lee's work has fundamentally transformed how information is shared and accessed globally."
Vinton G. Cerf,M,llm-high,practitioner,315,105,107,15,88,"{""ICT"": 170, ""networking and telecommunications"": 144, ""software engineering"": 1}","Known as one of the ""fathers of the Internet,"" Cerf co-designed the TCP/IP protocols that form the backbone of modern internet communications."
Sheryl Sandberg,F,gender-guesser,vendor_exec,94,66,11,2,15,"{""ICT"": 89, ""software engineering"": 2, ""networking and telecommunications"": 3}","As the former COO of Facebook (now Meta Platforms), Sandberg has been influential in scaling the social media giant and shaping online advertising technologies."
Satya Nadella,M,gender-guesser,vendor_exec,438,126,173,31,108,"{""ICT"": 236, ""cloud and infrastructure"": 103, ""software engineering"": 11, ""networking and telecommunications"": 25, ""AI and machine learning"": 46, ""cybersecurity"": 6, ""data and analytics"": 11}","As the CEO of Microsoft, Nadella has led the company through a significant transformation, focusing on cloud computing and AI technologies."
Sundar Pichai,M,llm-high,vendor_exec,269,70,86,53,60,"{""ICT"": 191, ""cloud and infrastructure"": 16, ""software engineering"": 4, ""networking and telecommunications"": 16, ""AI and machine learning"": 33, ""data and analytics"": 8, ""cybersecurity"": 1}","The CEO of Alphabet Inc. and its subsidiary Google, Pichai has played a key role in the development and expansion of various Google services and platforms."
Jeffrey Dean,M,gender-guesser,vendor_exec,107,13,17,40,37,"{""ICT"": 7, ""AI and machine learning"": 72, ""software engineering"": 21, ""data and analytics"": 5, ""cloud and infrastructure"": 1, ""networking and telecommunications"": 1}","As a leading figure in artificial intelligence research, Dean has contributed to many of Google's key technologies and advancements in machine learning."
Dr. Fei-Fei Li,F,llm-high,academic,472,96,168,68,140,"{""ICT"": 123, ""AI and machine learning"": 251, ""cloud and infrastructure"": 6, ""data and analytics"": 75, ""software engineering"": 17}","A pioneer in the field of artificial intelligence, particularly in computer vision, Li has been instrumental in advancing AI research and education."
Linus Torvalds,M,gender-guesser,founder_ceo,204,64,45,46,49,"{""ICT"": 91, ""cloud and infrastructure"": 15, ""software engineering"": 96, ""networking and telecommunications"": 2}","Linus Torvalds: Creator of the Linux kernel, a fundamental component of open-source operating systems."
Elon Musk,M,gender-guesser,founder_ceo,210,85,35,31,59,"{""ICT"": 147, ""AI and machine learning"": 48, ""software engineering"": 7, ""networking and telecommunications"": 8}","Elon Musk: CEO of SpaceX and Tesla, influential in technology and innovation, with ventures like Starlink impacting ICT."
Susan Wojcicki,F,gender-guesser,vendor_exec,104,52,29,7,16,"{""ICT"": 87, ""software engineering"": 4, ""networking and telecommunications"": 8, ""AI and machine learning"": 2, ""data and analytics"": 3}","Susan Wojcicki: Former CEO of YouTube, played a significant role in digital media and online content distribution."
Bill Gates,M,gender-guesser,founder_ceo,82,9,2,60,11,"{""ICT"": 68, ""software engineering"": 2, ""networking and telecommunications"": 12}","Bill Gates - Co-founder of Microsoft, pivotal in bringing personal computing to the masses."
Steve Wozniak,M,gender-guesser,founder_ceo,4,3,0,0,1,"{""ICT"": 3, ""networking and telecommunications"": 1}","Steve Wozniak - Co-founder of Apple Inc., instrumental in the development of personal computers."
John Chambers,M,gender-guesser,vendor_exec,55,4,18,31,2,"{""ICT"": 2, ""networking and telecommunications"": 53}","Former CEO of Cisco Systems, Chambers has been influential in the development of networking technologies."
Meg Whitman,F,gender-guesser,vendor_exec,16,15,0,0,1,"{""ICT"": 14, ""networking and telecommunications"": 2}","Known for her leadership roles at companies like eBay and Hewlett Packard Enterprise, Whitman has been influential in the tech industry."
Marc Andreessen,M,gender-guesser,founder_ceo,76,9,23,0,44,"{""ICT"": 71, ""networking and telecommunications"": 3, ""software engineering"": 1, ""cloud and infrastructure"": 1}","Co-author of Mosaic, the first widely used web browser, and co-founder of Netscape, Andreessen has been a key figure in the development of the internet."
Marc Benioff,M,gender-guesser,founder_ceo,93,20,49,8,16,"{""ICT"": 65, ""cloud and infrastructure"": 24, ""cybersecurity"": 1, ""data and analytics"": 1, ""networking and telecommunications"": 2}","Marc Benioff: CEO of Salesforce, known for his leadership in cloud computing and customer relationship management (CRM) solutions."
Ginni Rometty,F,llm-high,vendor_exec,121,62,32,12,15,"{""ICT"": 80, ""cloud and infrastructure"": 29, ""networking and telecommunications"": 6, ""AI and machine learning"": 2, ""data and analytics"": 4}","Ginni Rometty: Former CEO of IBM, where she championed AI and cloud computing initiatives."
Jack Ma,M,gender-guesser,founder_ceo,13,10,0,3,0,"{""ICT"": 13}","Jack Ma: Co-founder of Alibaba Group, he has been a leading figure in e-commerce and digital payment systems."
Ray Kurzweil,M,llm-high,influencer,11,6,1,0,4,"{""ICT"": 4, ""AI and machine learning"": 6, ""networking and telecommunications"": 1}","Ray Kurzweil: Known for his work in artificial intelligence and as a futurist, Kurzweil has contributed significantly to the discussion on the future of technology."
Bob Kahn,M,gender-guesser,practitioner,52,13,21,10,8,"{""ICT"": 9, ""networking and telecommunications"": 43}","Vint Cerf and Bob Kahn - Known as the ""fathers of the Internet,"" they co-designed the TCP/IP protocols that underpin the internet."
Whitfield Diffie,M,llm-high,academic,20,3,14,0,3,"{""ICT"": 4, ""cybersecurity"": 14, ""networking and telecommunications"": 2}","Whitfield Diffie and Martin Hellman - Pioneers in public-key cryptography, which is crucial for secure communication online."
Martin Hellman,M,gender-guesser,academic,6,3,0,0,3,"{""ICT"": 3, ""cybersecurity"": 1, ""networking and telecommunications"": 2}","Whitfield Diffie and Martin Hellman - Pioneers in public-key cryptography, which is crucial for secure communication online."
Jack Dorsey,M,gender-guesser,founder_ceo,24,24,0,0,0,"{""ICT"": 24}","Jack Dorsey: Co-founder and former CEO of Twitter, Dorsey has been a vocal advocate for decentralization and blockchain technology."
Marissa Mayer,F,gender-guesser,vendor_exec,24,22,0,0,2,"{""ICT"": 17, ""software engineering"": 7}","Marissa Mayer: Former CEO of Yahoo and a long-time executive at Google, Mayer has been influential in discussions around search technology and digital media."
Margaret Hamilton,F,gender-guesser,practitioner,78,20,14,26,18,"{""ICT"": 35, ""software engineering"": 40, ""data and analytics"": 3}","Margaret Hamilton: A pioneering software engineer, Hamilton led the team responsible for developing the onboard flight software for NASA's Apollo missions."
Steve Jobs,M,gender-guesser,founder_ceo,42,8,0,32,2,"{""ICT"": 41, ""software engineering"": 1}","Steve Jobs: Co-founder of Apple Inc., known for his role in the development of personal computing, smartphones, and user-friendly"
Jeff Bezos,M,gender-guesser,founder_ceo,82,21,3,20,38,"{""ICT"": 79, ""software engineering"": 3}","Jeff Bezos: Founder of Amazon, his work in e-commerce and cloud computing (Amazon Web Services) has had a significant impact on ICT."
Brian Krzanich,M,gender-guesser,founder_ceo,1,1,0,0,0,"{""ICT"": 1}","Brian Krzanich: Former CEO of Intel, known for his leadership in semiconductor technology which is foundational to ICT."
Shoshana Zuboff,F,gender-guesser,academic,75,5,22,0,48,"{""ICT"": 72, ""AI and machine learning"": 1, ""data and analytics"": 2}","Shoshana Zuboff: A scholar known for her work on surveillance capitalism and the social, economic, and psychological impacts of digital"
